DatasetId,Slug,Title,OwnerUserId,UserName,URL
310,creditcardfraud,Credit Card Fraud Detection,,unknown,https://www.kaggle.com/datasets/unknown/creditcardfraud
10664,retailtransactiondata,Retail Transaction Data,26267.0,regivm,https://www.kaggle.com/datasets/regivm/retailtransactiondata
3258,sign-language-mnist,Sign Language MNIST,268812.0,datamunge,https://www.kaggle.com/datasets/datamunge/sign-language-mnist
4880,four-shapes,Four Shapes,279285.0,smeschke,https://www.kaggle.com/datasets/smeschke/four-shapes
12414,data-science-for-good-kiva-crowdfunding,Data Science for Good: Kiva Crowdfunding,,unknown,https://www.kaggle.com/datasets/unknown/data-science-for-good-kiva-crowdfunding
2964,xinjiang-pm,xinjiang(Predictive Maintenance),703448.0,yuansaijie0604,https://www.kaggle.com/datasets/yuansaijie0604/xinjiang-pm
4679,graduate-school-admission-data,Graduate school admission data,726376.0,malapatiravi,https://www.kaggle.com/datasets/malapatiravi/graduate-school-admission-data
2672,indian-liver-patient-dataset,Indian Liver Patient Dataset,734733.0,jeevannagaraj,https://www.kaggle.com/datasets/jeevannagaraj/indian-liver-patient-dataset
2050,spam-text-message-classification,Spam Text Message Classification,,unknown,https://www.kaggle.com/datasets/unknown/spam-text-message-classification
1067,ibm-hr-analytics-attrition-dataset,IBM HR Analytics Employee Attrition & Performance,862007.0,pavansubhasht,https://www.kaggle.com/datasets/pavansubhasht/ibm-hr-analytics-attrition-dataset
10479,black-friday,Black Friday,932915.0,sdolezel,https://www.kaggle.com/datasets/sdolezel/black-friday
2552,hr-employee-retention,HR Employee Retention,1010879.0,gummulasrikanth,https://www.kaggle.com/datasets/gummulasrikanth/hr-employee-retention
7617,spokenverbs,Spoken Verbs,1360065.0,jbuchner,https://www.kaggle.com/datasets/jbuchner/spokenverbs
13996,telco-customer-churn,Telco Customer Churn,1574575.0,blastchar,https://www.kaggle.com/datasets/blastchar/telco-customer-churn
13720,insurance,Medical Cost Personal Datasets,1616098.0,mirichoi0218,https://www.kaggle.com/datasets/mirichoi0218/insurance
14872,graduate-admissions,Graduate Admission 2,1303085.0,mohansacharya,https://www.kaggle.com/datasets/mohansacharya/graduate-admissions
14370,pimaindiansdiabetescsv,pima-indians-diabetes.csv,1530601.0,kumargh,https://www.kaggle.com/datasets/kumargh/pimaindiansdiabetescsv
39176,lego-brick-images,Images of LEGO Bricks,2101774.0,joosthazelzet,https://www.kaggle.com/datasets/joosthazelzet/lego-brick-images
39046,heart-risk-problem,Heart risk problem,2102729.0,shivakumarcd,https://www.kaggle.com/datasets/shivakumarcd/heart-risk-problem
42363,hr-analytics-case-study,HR Analytics Case Study,1790645.0,vjchoudhary7,https://www.kaggle.com/datasets/vjchoudhary7/hr-analytics-case-study
188596,healthcare-provider-fraud-detection-analysis,HEALTHCARE PROVIDER FRAUD DETECTION ANALYSIS,1534689.0,rohitrox,https://www.kaggle.com/datasets/rohitrox/healthcare-provider-fraud-detection-analysis
107706,cardiovascular-disease-dataset,Cardiovascular Disease dataset,2389095.0,sulianova,https://www.kaggle.com/datasets/sulianova/cardiovascular-disease-dataset
263888,credit-card,Credit Card Fraud Detection,2067080.0,mishra5001,https://www.kaggle.com/datasets/mishra5001/credit-card
222487,heart-disease-prediction-using-logistic-regression,Logistic regression To predict heart disease,3280617.0,dileep070,https://www.kaggle.com/datasets/dileep070/heart-disease-prediction-using-logistic-regression
494724,novel-corona-virus-2019-dataset,Novel Corona Virus 2019 Dataset,71388.0,sudalairajkumar,https://www.kaggle.com/datasets/sudalairajkumar/novel-corona-virus-2019-dataset
451746,hr-employee-attrition,HR Employee Attrition,763021.0,abhishektibrewal,https://www.kaggle.com/datasets/abhishektibrewal/hr-employee-attrition
533871,real-or-fake-fake-jobposting-prediction,Real / Fake Job Posting Prediction,1571785.0,shivamb,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction
486282,summer-olympics-medals,Summer Olympics Medals (1976-2008),3390641.0,divyansh22,https://www.kaggle.com/datasets/divyansh22/summer-olympics-medals
